language,term,CIEL_L,CIEL_a,CIEL_b
Cantonese,lam,71.6,-22.32,-14.67
Cantonese,lam,61.7,-29.22,-21.27
Cantonese,lam,51.57,-27.95,-22.24
Cantonese,lam,41.22,-20.46,-17.64
Cantonese,lam,30.77,-19.73,-18.89
Cantonese,lam,20.54,-11.72,-12.03
Cantonese,lam,91.08,-6.32,-5.08
Cantonese,lam,81.35,-13.22,-11.59
Cantonese,lam,71.6,-18.37,-18.07
Cantonese,lam,61.7,-22.98,-25.73
Cantonese,lam,51.57,-21.72,-26.63
Cantonese,lam,41.22,-21.08,-28.21
Cantonese,lam,30.77,-15.41,-22.0
Cantonese,lam,20.54,-9.52,-13.99
Cantonese,tsi,91.08,-4.65,-5.34
Cantonese,tsi,81.35,-10.44,-12.79
Cantonese,tsi,71.6,-14.22,-19.9
Cantonese,tsi,61.7,-16.81,-28.31
Cantonese,tsi,51.57,-15.72,-29.08
Cantonese,tsi,41.22,-14.67,-30.69
Cantonese,tsi,30.77,-10.88,-24.2
Cantonese,tsi,20.54,-9.22,-24.04
Cantonese,hung,91.08,-3.48,-5.55
Cantonese,hung,81.35,-6.82,-13.92
Cantonese,hung,71.6,-12.05,-29.46
Cantonese,hung,61.7,-13.07,-37.55
Cantonese,hung,51.57,-11.88,-38.56
Cantonese,hung,41.22,-10.54,-39.65
Cantonese,hung,30.77,-7.86,-33.8
Cantonese,hung,20.54,-5.25,-25.49
Cantonese,tseng,91.08,-1.49,-5.61
Cantonese,tseng,81.35,-5.05,-23.28
Cantonese,tseng,71.6,-5.09,-30.75
Cantonese,tseng,61.7,-4.52,-39.18
Cantonese,tseng,51.57,-3.41,-48.08
Cantonese,tseng,41.22,-2.09,-40.81
Cantonese,tseng,30.77,0.29,-43.03
Cantonese,tseng,20.54,0.11,-26.61
Cantonese,uong,91.08,-0.37,-5.58
Cantonese,uong,81.35,-0.24,-24.03
Cantonese,uong,71.6,0.85,-31.32
Cantonese,uong,61.7,2.64,-39.49
Cantonese,uong,51.57,5.02,-48.35
Cantonese,uong,41.22,7.17,-48.94
Cantonese,uong,30.77,7.86,-43.39
Cantonese,uong,20.54,7.63,-35.92
Cantonese,lam,91.08,1.12,-5.38
Cantonese,lam,81.35,3.22,-14.27
Cantonese,lam,71.6,6.06,-22.71
Cantonese,lam,61.7,9.58,-30.64
Cantonese,lam,51.57,14.19,-39.14
Cantonese,lam,41.22,20.81,-48.05
Cantonese,lam,30.77,25.75,-49.63
Cantonese,lam,20.54,23.81,-41.87
Cantonese,hung,91.08,2.19,-4.93
Cantonese,hung,81.35,5.82,-13.42
Cantonese,hung,71.6,10.25,-21.6
Cantonese,hung,61.7,15.28,-29.05
Cantonese,hung,51.57,22.05,-37.02
Cantonese,hung,41.22,24.29,-38.02
Cantonese,hung,30.77,28.36,-39.75
Cantonese,hung,20.54,23.12,-31.33
Cantonese,lam,91.08,3.36,-4.24
Cantonese,lam,81.35,9.68,-11.26
Cantonese,lam,71.6,16.13,-17.52
Cantonese,lam,61.7,23.29,-23.79
Cantonese,lam,51.57,31.24,-29.94
Cantonese,lam,41.22,33.08,-30.5
Cantonese,lam,30.77,36.9,-32.14
Cantonese,lam,20.54,29.26,-25.01
Cantonese,tsi,91.08,4.31,-2.82
Cantonese,tsi,81.35,18.74,-12.74
Cantonese,tsi,71.6,26.62,-18.32
Cantonese,tsi,61.7,34.47,-24.03
Cantonese,tsi,51.57,35.21,-24.66
Cantonese,tsi,41.22,36.48,-25.75
Cantonese,tsi,30.77,39.78,-27.99
Cantonese,tsi,20.54,22.74,-16.65
Cantonese,lam,91.08,5.04,-1.14
Cantonese,lam,81.35,22.62,-5.51
Cantonese,lam,71.6,38.97,-10.98
Cantonese,lam,61.7,38.67,-11.63
Cantonese,lam,51.57,48.98,-15.95
Cantonese,lam,41.22,49.84,-17.34
Cantonese,lam,30.77,44.87,-16.65
Cantonese,lam,20.54,34.44,-14.69
Cantonese,hung,91.08,5.27,-0.1
Cantonese,hung,81.35,23.53,-0.96
Cantonese,hung,71.6,40.04,-2.7
Cantonese,hung,61.7,40.07,-3.44
Cantonese,hung,51.57,51.2,-5.84
Cantonese,hung,41.22,51.84,-8.08
Cantonese,hung,30.77,46.25,-9.51
Cantonese,hung,20.54,35.44,-10.4
Cantonese,lam,91.08,5.44,1.5
Cantonese,lam,81.35,23.74,6.18
Cantonese,lam,71.6,32.41,7.97
Cantonese,lam,61.7,49.67,10.71
Cantonese,lam,51.57,59.79,10.72
Cantonese,lam,41.22,61.57,8.63
Cantonese,lam,30.77,47.63,5.24
Cantonese,lam,20.54,36.42,-2.08
Danish,blau,91.08,5.53,2.22
Danish,blau,81.35,23.67,9.47
Danish,blau,71.6,32.18,12.57
Danish,blau,61.7,49.42,18.23
Danish,blau,51.57,59.36,19.67
Danish,blau,41.22,61.4,17.92
Danish,blau,30.77,47.34,12.58
Danish,blau,20.54,36.82,3.13
Danish,vermell,91.08,5.54,4.46
Danish,vermell,81.35,22.67,17.48
Danish,vermell,71.6,38.22,29.22
Danish,vermell,61.7,46.38,35.47
Danish,vermell,51.57,55.76,42.05
Danish,vermell,41.22,56.6,40.99
Danish,vermell,30.77,52.68,34.06
Danish,vermell,20.54,35.15,15.44
Danish,morat,91.08,5.43,5.64
Danish,morat,81.35,21.06,22.4
Danish,morat,71.6,34.96,37.54
Danish,morat,61.7,49.15,56.82
Danish,morat,51.57,55.2,68.32
Danish,morat,41.22,51.06,58.81
Danish,morat,30.77,40.89,36.03
Danish,morat,20.54,25.15,16.6
Danish,verd,91.08,5.21,7.67
Danish,verd,81.35,18.52,26.72
Danish,verd,71.6,30.67,44.56
Danish,verd,61.7,44.69,79.79
Danish,verd,51.57,40.53,69.04
Danish,verd,41.22,32.37,46.62
Danish,verd,30.77,28.16,36.05
Danish,verd,20.54,15.99,14.49
Danish,vermell,91.08,4.3,10.08
Danish,vermell,81.35,14.87,30.96
Danish,vermell,71.6,32.89,77.02
Danish,vermell,61.7,29.38,64.4
Danish,vermell,51.57,29.45,64.44
Danish,vermell,41.22,22.15,41.13
Danish,vermell,30.77,18.18,30.27
Danish,vermell,20.54,13.28,18.21
Danish,verd,91.08,3.14,12.37
Danish,verd,81.35,14.98,47.04
Danish,verd,71.6,24.12,84.39
Danish,verd,61.7,22.09,71.31
Danish,verd,51.57,19.79,58.75
Danish,verd,41.22,17.04,45.95
Danish,verd,30.77,13.89,33.8
Danish,verd,20.54,10.16,21.44
Danish,vermell,91.08,1.28,14.41
Danish,vermell,81.35,15.1,90.21
Danish,vermell,71.6,15.62,90.72
Danish,vermell,61.7,14.45,76.93
Danish,vermell,51.57,13.12,63.99
Danish,vermell,41.22,9.31,37.8
Danish,vermell,30.77,9.51,37.16
Danish,vermell,20.54,3.62,11.09
Danish,blau,91.08,-5.25,45.24
Danish,blau,81.35,-3.69,100.18
Danish,blau,71.6,-2.3,85.64
Danish,blau,61.7,-1.4,71.61
Danish,blau,51.57,-0.48,57.27
Danish,blau,41.22,-0.21,42.37
Danish,blau,30.77,-0.15,26.58
Danish,blau,20.54,-0.11,12.03
Danish,verd,91.08,-9.03,45.94
Danish,verd,81.35,-10.94,87.9
Danish,verd,71.6,-9.51,87.14
Danish,verd,61.7,-7.92,73.21
Danish,verd,51.57,-6.4,58.71
Danish,verd,41.22,-4.87,43.26
Danish,verd,30.77,-3.32,26.87
Danish,verd,20.54,-1.74,11.57
Danish,verd,91.08,-16.65,44.66
Danish,verd,81.35,-26.04,85.63
Danish,verd,71.6,-24.87,85.15
Danish,verd,61.7,-21.81,70.54
Danish,verd,51.57,-18.37,55.88
Danish,verd,41.22,-14.57,40.52
Danish,verd,30.77,-10.05,24.97
Danish,verd,20.54,-4.47,9.36
Danish,blau,91.08,-14.67,29.61
Danish,blau,81.35,-30.49,65.57
Danish,blau,71.6,-34.49,79.15
Danish,blau,61.7,-30.13,65.11
Danish,blau,51.57,-25.02,50.55
Danish,blau,41.22,-19.48,36.56
Danish,blau,30.77,-13.04,21.97
Danish,blau,20.54,-5.36,7.98
Danish,morat,91.08,-10.76,13.38
Danish,morat,81.35,-40.58,54.46
Danish,morat,71.6,-40.28,53.23
Danish,morat,61.7,-46.97,64.65
Danish,morat,51.57,-40.14,52.84
Danish,morat,41.22,-33.18,41.15
Danish,morat,30.77,-23.96,27.29
Danish,morat,20.54,-14.85,15.25
Danish,gris,91.08,-12.29,10.56
Danish,gris,81.35,-38.45,34.02
Danish,gris,71.6,-46.7,41.31
Danish,gris,61.7,-55.94,49.19
Danish,gris,51.57,-56.86,49.22
Danish,gris,41.22,-38.39,31.53
Danish,gris,30.77,-27.26,20.69
Danish,gris,20.54,-16.46,11.28
Danish,vermell,91.08,-13.13,7.63
Danish,vermell,81.35,-42.41,23.78
Danish,vermell,71.6,-51.55,27.69
Danish,vermell,61.7,-51.58,26.3
Danish,vermell,51.57,-63.28,28.95
Danish,vermell,41.22,-53.57,23.28
Danish,vermell,30.77,-39.23,16.6
Danish,vermell,20.54,-17.35,7.46
Danish,blau,91.08,-13.22,3.82
Danish,blau,81.35,-33.63,8.67
Danish,blau,71.6,-41.85,9.77
Danish,blau,61.7,-52.09,10.63
Danish,blau,51.57,-52.69,9.7
Danish,blau,41.22,-53.43,8.61
Danish,blau,30.77,-49.93,6.94
Danish,blau,20.54,-27.43,4.26
Danish,verd,91.08,-12.96,2.42
Danish,verd,81.35,-33.04,4.96
Danish,verd,71.6,-41.54,5.41
Danish,verd,61.7,-51.88,5.51
Danish,verd,51.57,-51.99,4.46
Danish,verd,41.22,-52.68,3.36
Danish,verd,30.77,-39.18,2.14
Danish,verd,20.54,-26.87,1.22
Danish,vermell,91.08,-12.69,1.23
Danish,vermell,81.35,-32.18,1.81
Danish,vermell,71.6,-40.91,1.15
Danish,vermell,61.7,-41.11,0.19
Danish,vermell,51.57,-51.2,-1.36
Danish,vermell,41.22,-41.21,-2.07
Danish,vermell,30.77,-29.07,-1.92
Danish,vermell,20.54,-17.18,-1.47
Danish,groc,91.08,-11.94,-0.27
Danish,groc,81.35,-21.19,-1.35
Danish,groc,71.6,-39.21,-4.56
Danish,groc,61.7,-39.17,-5.88
Danish,groc,51.57,-38.59,-7.0
Danish,groc,41.22,-39.09,-8.33
Danish,groc,30.77,-27.32,-6.72
Danish,groc,20.54,-16.13,-4.67
Danish,morat,91.08,-10.86,-2.13
Danish,morat,81.35,-19.64,-4.3
Danish,morat,71.6,-27.52,-7.11
Danish,morat,61.7,-36.77,-10.9
Danish,morat,51.57,-36.19,-11.99
Danish,morat,41.22,-36.33,-13.61
Danish,morat,30.77,-25.67,-10.89
Danish,morat,20.54,-15.07,-7.11
Danish,blau,91.08,-6.32,-5.08
Danish,blau,81.35,-13.22,-11.59
Danish,blau,71.6,-18.37,-18.07
Danish,blau,61.7,-22.98,-25.73
Danish,blau,51.57,-21.72,-26.63
Danish,blau,41.22,-21.08,-28.21
Danish,blau,30.77,-15.41,-22.0
Danish,blau,20.54,-9.52,-13.99
Danish,vermell,91.08,-4.65,-5.34
Danish,vermell,81.35,-10.44,-12.79
Danish,vermell,71.6,-14.22,-19.9
Danish,vermell,61.7,-16.81,-28.31
Danish,vermell,51.57,-15.72,-29.08
Danish,vermell,41.22,-14.67,-30.69
Danish,vermell,30.77,-10.88,-24.2
Danish,vermell,20.54,-9.22,-24.04
Danish,vermell,91.08,-3.48,-5.55
Danish,vermell,81.35,-6.82,-13.92
Danish,vermell,71.6,-12.05,-29.46
Danish,vermell,61.7,-13.07,-37.55
Danish,vermell,51.57,-11.88,-38.56
Danish,vermell,41.22,-10.54,-39.65
Danish,vermell,30.77,-7.86,-33.8
Danish,vermell,20.54,-5.25,-25.49
Danish,verd,91.08,-1.49,-5.61
Danish,verd,81.35,-5.05,-23.28
Danish,verd,71.6,-5.09,-30.75
Danish,verd,61.7,-4.52,-39.18
Danish,verd,51.57,-3.41,-48.08
Danish,verd,41.22,-2.09,-40.81
Danish,verd,30.77,0.29,-43.03
Danish,verd,20.54,0.11,-26.61
Danish,groc,91.08,-0.37,-5.58
Danish,groc,81.35,-0.24,-24.03
Danish,groc,71.6,0.85,-31.32
Danish,groc,61.7,2.64,-39.49
Danish,groc,51.57,5.02,-48.35
Danish,groc,41.22,7.17,-48.94
Danish,groc,30.77,7.86,-43.39
Danish,groc,20.54,7.63,-35.92
Danish,morat,91.08,2.19,-4.93
Danish,morat,81.35,5.82,-13.42
Danish,morat,71.6,10.25,-21.6
Danish,morat,61.7,15.28,-29.05
Danish,morat,51.57,22.05,-37.02
Danish,morat,41.22,24.29,-38.02
Danish,morat,30.77,28.36,-39.75
Danish,morat,20.54,23.12,-31.33
Danish,verd,91.08,2.95,-4.85
Danish,verd,81.35,8.19,-12.62
Danish,verd,71.6,13.67,-19.66
Danish,verd,61.7,20.07,-26.92
Danish,verd,51.57,27.4,-33.72
Danish,verd,41.22,29.49,-34.06
Danish,verd,30.77,33.51,-35.69
Danish,verd,20.54,26.82,-27.84
Danish,blau,91.08,3.36,-4.24
Danish,blau,81.35,9.68,-11.26
Danish,blau,71.6,16.13,-17.52
Danish,blau,61.7,23.29,-23.79
Danish,blau,51.57,31.24,-29.94
Danish,blau,41.22,33.08,-30.5
Danish,blau,30.77,36.9,-32.14
Danish,blau,20.54,29.26,-25.01
Danish,vermell,91.08,4.31,-2.82
Danish,vermell,81.35,18.74,-12.74
Danish,vermell,71.6,26.62,-18.32
Danish,vermell,61.7,34.47,-24.03
Danish,vermell,51.57,35.21,-24.66
Danish,vermell,41.22,36.48,-25.75
Danish,vermell,30.77,39.78,-27.99
Danish,vermell,20.54,22.74,-16.65
Danish,verd,91.08,4.7,-2.0
Danish,verd,81.35,21.03,-9.69
Danish,verd,71.6,29.26,-13.95
Danish,verd,61.7,37.1,-18.34
Danish,verd,51.57,46.17,-23.4
Danish,verd,41.22,46.93,-24.7
Danish,verd,30.77,42.44,-23.6
Danish,verd,20.54,24.14,-14.33
Danish,blau,91.08,5.04,-1.14
Danish,blau,81.35,22.62,-5.51
Danish,blau,71.6,38.97,-10.98
Danish,blau,61.7,38.67,-11.63
Danish,blau,51.57,48.98,-15.95
Danish,blau,41.22,49.84,-17.34
Danish,blau,30.77,44.87,-16.65
Danish,blau,20.54,34.44,-14.69
Danish,vermell,91.08,5.27,-0.1
Danish,vermell,81.35,23.53,-0.96
Danish,vermell,71.6,40.04,-2.7
Danish,vermell,61.7,40.07,-3.44
Danish,vermell,51.57,51.2,-5.84
Danish,vermell,41.22,51.84,-8.08
Danish,vermell,30.77,46.25,-9.51
Danish,vermell,20.54,35.44,-10.4
Danish,verd,91.08,5.41,0.74
Danish,verd,81.35,23.82,2.52
Danish,verd,71.6,32.47,2.76
Danish,verd,61.7,49.38,2.78
Danish,verd,51.57,59.69,1.53
Danish,verd,41.22,52.58,-0.05
Danish,verd,30.77,46.93,-2.51
Danish,verd,20.54,35.97,-6.33
English,blue,91.08,5.53,2.22
English,blue,81.35,23.67,9.47
English,blue,71.6,32.18,12.57
English,blue,61.7,49.42,18.23
English,blue,51.57,59.36,19.67
English,blue,41.22,61.4,17.92
English,blue,30.77,47.34,12.58
English,blue,20.54,36.82,3.13
English,blue,91.08,5.51,3.28
English,blue,81.35,23.18,13.11
English,blue,71.6,31.7,17.23
English,blue,61.7,48.53,25.92
English,blue,51.57,58.01,30.52
English,blue,41.22,59.5,30.17
English,blue,30.77,46.08,20.6
English,blue,20.54,36.64,9.24
English,orange,91.08,5.54,4.46
English,orange,81.35,22.67,17.48
English,orange,71.6,38.22,29.22
English,orange,61.7,46.38,35.47
English,orange,51.57,55.76,42.05
English,orange,41.22,56.6,40.99
English,orange,30.77,52.68,34.06
English,orange,20.54,35.15,15.44
English,purple,91.08,5.43,5.64
English,purple,81.35,21.06,22.4
English,purple,71.6,34.96,37.54
English,purple,61.7,49.15,56.82
English,purple,51.57,55.2,68.32
English,purple,41.22,51.06,58.81
English,purple,30.77,40.89,36.03
English,purple,20.54,25.15,16.6
English,green,91.08,3.14,12.37
English,green,81.35,14.98,47.04
English,green,71.6,24.12,84.39
English,green,61.7,22.09,71.31
English,green,51.57,19.79,58.75
English,green,41.22,17.04,45.95
English,green,30.77,13.89,33.8
English,green,20.54,10.16,21.44
English,brown,91.08,-0.46,29.79
English,brown,81.35,7.28,109.12
English,brown,71.6,6.22,81.95
English,brown,61.7,5.87,68.59
English,brown,51.57,5.33,54.9
English,brown,41.22,4.42,40.43
English,brown,30.77,3.1,25.71
English,brown,20.54,1.58,11.89
English,blue,91.08,-5.25,45.24
English,blue,81.35,-3.69,100.18
English,blue,71.6,-2.3,85.64
English,blue,61.7,-1.4,71.61
English,blue,51.57,-0.48,57.27
English,blue,41.22,-0.21,42.37
English,blue,30.77,-0.15,26.58
English,blue,20.54,-0.11,12.03
English,green,91.08,-9.03,45.94
English,green,81.35,-10.94,87.9
English,green,71.6,-9.51,87.14
English,green,61.7,-7.92,73.21
English,green,51.57,-6.4,58.71
English,green,41.22,-4.87,43.26
English,green,30.77,-3.32,26.87
English,green,20.54,-1.74,11.57
English,green,91.08,-16.65,44.66
English,green,81.35,-26.04,85.63
English,green,71.6,-24.87,85.15
English,green,61.7,-21.81,70.54
English,green,51.57,-18.37,55.88
English,green,41.22,-14.57,40.52
English,green,30.77,-10.05,24.97
English,green,20.54,-4.47,9.36
English,blue,91.08,-14.67,29.61
English,blue,81.35,-30.49,65.57
English,blue,71.6,-34.49,79.15
English,blue,61.7,-30.13,65.11
English,blue,51.57,-25.02,50.55
English,blue,41.22,-19.48,36.56
English,blue,30.77,-13.04,21.97
English,blue,20.54,-5.36,7.98
English,grey,91.08,-12.29,10.56
English,grey,81.35,-38.45,34.02
English,grey,71.6,-46.7,41.31
English,grey,61.7,-55.94,49.19
English,grey,51.57,-56.86,49.22
English,grey,41.22,-38.39,31.53
English,grey,30.77,-27.26,20.69
English,grey,20.54,-16.46,11.28
English,orange,91.08,-13.13,7.63
English,orange,81.35,-42.41,23.78
English,orange,71.6,-51.55,27.69
English,orange,61.7,-51.58,26.3
English,orange,51.57,-63.28,28.95
English,orange,41.22,-53.57,23.28
English,orange,30.77,-39.23,16.6
English,orange,20.54,-17.35,7.46
English,blue,91.08,-13.22,3.82
English,blue,81.35,-33.63,8.67
English,blue,71.6,-41.85,9.77
English,blue,61.7,-52.09,10.63
English,blue,51.57,-52.69,9.7
English,blue,41.22,-53.43,8.61
English,blue,30.77,-49.93,6.94
English,blue,20.54,-27.43,4.26
English,green,91.08,-12.96,2.42
English,green,81.35,-33.04,4.96
English,green,71.6,-41.54,5.41
English,green,61.7,-51.88,5.51
English,green,51.57,-51.99,4.46
English,green,41.22,-52.68,3.36
English,green,30.77,-39.18,2.14
English,green,20.54,-26.87,1.22
English,pink,91.08,-12.69,1.23
English,pink,81.35,-32.18,1.81
English,pink,71.6,-40.91,1.15
English,pink,61.7,-41.11,0.19
English,pink,51.57,-51.2,-1.36
English,pink,41.22,-41.21,-2.07
English,pink,30.77,-29.07,-1.92
English,pink,20.54,-17.18,-1.47
English,yellow,91.08,-11.94,-0.27
English,yellow,81.35,-21.19,-1.35
English,yellow,71.6,-39.21,-4.56
English,yellow,61.7,-39.17,-5.88
English,yellow,51.57,-38.59,-7.0
English,yellow,41.22,-39.09,-8.33
English,yellow,30.77,-27.32,-6.72
English,yellow,20.54,-16.13,-4.67
English,purple,91.08,-10.86,-2.13
English,purple,81.35,-19.64,-4.3
English,purple,71.6,-27.52,-7.11
English,purple,61.7,-36.77,-10.9
English,purple,51.57,-36.19,-11.99
English,purple,41.22,-36.33,-13.61
English,purple,30.77,-25.67,-10.89
English,purple,20.54,-15.07,-7.11
English,blue,91.08,-7.96,-4.41
English,blue,81.35,-16.44,-9.33
English,blue,71.6,-22.32,-14.67
English,blue,61.7,-29.22,-21.27
English,blue,51.57,-27.95,-22.24
English,blue,41.22,-20.46,-17.64
English,blue,30.77,-19.73,-18.89
English,blue,20.54,-11.72,-12.03
English,blue,91.08,-6.32,-5.08
English,blue,81.35,-13.22,-11.59
English,blue,71.6,-18.37,-18.07
English,blue,61.7,-22.98,-25.73
English,blue,51.57,-21.72,-26.63
English,blue,41.22,-21.08,-28.21
English,blue,30.77,-15.41,-22.0
English,blue,20.54,-9.52,-13.99
English,pink,91.08,-3.48,-5.55
English,pink,81.35,-6.82,-13.92
English,pink,71.6,-12.05,-29.46
English,pink,61.7,-13.07,-37.55
English,pink,51.57,-11.88,-38.56
English,pink,41.22,-10.54,-39.65
English,pink,30.77,-7.86,-33.8
English,pink,20.54,-5.25,-25.49
English,green,91.08,-1.49,-5.61
English,green,81.35,-5.05,-23.28
English,green,71.6,-5.09,-30.75
English,green,61.7,-4.52,-39.18
English,green,51.57,-3.41,-48.08
English,green,41.22,-2.09,-40.81
English,green,30.77,0.29,-43.03
English,green,20.54,0.11,-26.61
English,blue,91.08,1.12,-5.38
English,blue,81.35,3.22,-14.27
English,blue,71.6,6.06,-22.71
English,blue,61.7,9.58,-30.64
English,blue,51.57,14.19,-39.14
English,blue,41.22,20.81,-48.05
English,blue,30.77,25.75,-49.63
English,blue,20.54,23.81,-41.87
English,purple,91.08,2.19,-4.93
English,purple,81.35,5.82,-13.42
English,purple,71.6,10.25,-21.6
English,purple,61.7,15.28,-29.05
English,purple,51.57,22.05,-37.02
English,purple,41.22,24.29,-38.02
English,purple,30.77,28.36,-39.75
English,purple,20.54,23.12,-31.33
English,green,91.08,2.95,-4.85
English,green,81.35,8.19,-12.62
English,green,71.6,13.67,-19.66
English,green,61.7,20.07,-26.92
English,green,51.57,27.4,-33.72
English,green,41.22,29.49,-34.06
English,green,30.77,33.51,-35.69
English,green,20.54,26.82,-27.84
English,blue,91.08,3.36,-4.24
English,blue,81.35,9.68,-11.26
English,blue,71.6,16.13,-17.52
English,blue,61.7,23.29,-23.79
English,blue,51.57,31.24,-29.94
English,blue,41.22,33.08,-30.5
English,blue,30.77,36.9,-32.14
English,blue,20.54,29.26,-25.01
English,orange,91.08,4.31,-2.82
English,orange,81.35,18.74,-12.74
English,orange,71.6,26.62,-18.32
English,orange,61.7,34.47,-24.03
English,orange,51.57,35.21,-24.66
English,orange,41.22,36.48,-25.75
English,orange,30.77,39.78,-27.99
English,orange,20.54,22.74,-16.65
English,green,91.08,4.7,-2.0
English,green,81.35,21.03,-9.69
English,green,71.6,29.26,-13.95
English,green,61.7,37.1,-18.34
English,green,51.57,46.17,-23.4
English,green,41.22,46.93,-24.7
English,green,30.77,42.44,-23.6
English,green,20.54,24.14,-14.33
English,blue,91.08,5.04,-1.14
English,blue,81.35,22.62,-5.51
English,blue,71.6,38.97,-10.98
English,blue,61.7,38.67,-11.63
English,blue,51.57,48.98,-15.95
English,blue,41.22,49.84,-17.34
English,blue,30.77,44.87,-16.65
English,blue,20.54,34.44,-14.69
English,green,91.08,5.41,0.74
English,green,81.35,23.82,2.52
English,green,71.6,32.47,2.76
English,green,61.7,49.38,2.78
English,green,51.57,59.69,1.53
English,green,41.22,52.58,-0.05
English,green,30.77,46.93,-2.51
English,green,20.54,35.97,-6.33
English,blue,91.08,5.44,1.5
English,blue,81.35,23.74,6.18
English,blue,71.6,32.41,7.97
English,blue,61.7,49.67,10.71
English,blue,51.57,59.79,10.72
English,blue,41.22,61.57,8.63
English,blue,30.77,47.63,5.24
English,blue,20.54,36.42,-2.08
Hebrew,kahol,91.08,5.53,2.22
Hebrew,kahol,81.35,23.67,9.47
Hebrew,kahol,71.6,32.18,12.57
Hebrew,kahol,61.7,49.42,18.23
Hebrew,kahol,51.57,59.36,19.67
Hebrew,kahol,41.22,61.4,17.92
Hebrew,kahol,30.77,47.34,12.58
Hebrew,kahol,20.54,36.82,3.13
Hebrew,katom,91.08,5.54,4.46
Hebrew,katom,81.35,22.67,17.48
Hebrew,katom,71.6,38.22,29.22
Hebrew,katom,61.7,46.38,35.47
Hebrew,katom,51.57,55.76,42.05
Hebrew,katom,41.22,56.6,40.99
Hebrew,katom,30.77,52.68,34.06
Hebrew,katom,20.54,35.15,15.44
Hebrew,sagol,91.08,5.43,5.64
Hebrew,sagol,81.35,21.06,22.4
Hebrew,sagol,71.6,34.96,37.54
Hebrew,sagol,61.7,49.15,56.82
Hebrew,sagol,51.57,55.2,68.32
Hebrew,sagol,41.22,51.06,58.81
Hebrew,sagol,30.77,40.89,36.03
Hebrew,sagol,20.54,25.15,16.6
Hebrew,yaroq,91.08,3.14,12.37
Hebrew,yaroq,81.35,14.98,47.04
Hebrew,yaroq,71.6,24.12,84.39
Hebrew,yaroq,61.7,22.09,71.31
Hebrew,yaroq,51.57,19.79,58.75
Hebrew,yaroq,41.22,17.04,45.95
Hebrew,yaroq,30.77,13.89,33.8
Hebrew,yaroq,20.54,10.16,21.44
Hebrew,hum,91.08,-0.46,29.79
Hebrew,hum,81.35,7.28,109.12
Hebrew,hum,71.6,6.22,81.95
Hebrew,hum,61.7,5.87,68.59
Hebrew,hum,51.57,5.33,54.9
Hebrew,hum,41.22,4.42,40.43
Hebrew,hum,30.77,3.1,25.71
Hebrew,hum,20.54,1.58,11.89
Hebrew,yaroq,91.08,-16.65,44.66
Hebrew,yaroq,81.35,-26.04,85.63
Hebrew,yaroq,71.6,-24.87,85.15
Hebrew,yaroq,61.7,-21.81,70.54
Hebrew,yaroq,51.57,-18.37,55.88
Hebrew,yaroq,41.22,-14.57,40.52
Hebrew,yaroq,30.77,-10.05,24.97
Hebrew,yaroq,20.54,-4.47,9.36
Hebrew,sagol,91.08,-10.76,13.38
Hebrew,sagol,81.35,-40.58,54.46
Hebrew,sagol,71.6,-40.28,53.23
Hebrew,sagol,61.7,-46.97,64.65
Hebrew,sagol,51.57,-40.14,52.84
Hebrew,sagol,41.22,-33.18,41.15
Hebrew,sagol,30.77,-23.96,27.29
Hebrew,sagol,20.54,-14.85,15.25
Hebrew,afor,91.08,-12.29,10.56
Hebrew,afor,81.35,-38.45,34.02
Hebrew,afor,71.6,-46.7,41.31
Hebrew,afor,61.7,-55.94,49.19
Hebrew,afor,51.57,-56.86,49.22
Hebrew,afor,41.22,-38.39,31.53
Hebrew,afor,30.77,-27.26,20.69
Hebrew,afor,20.54,-16.46,11.28
Hebrew,varod,91.08,-13.13,7.63
Hebrew,varod,81.35,-42.41,23.78
Hebrew,varod,71.6,-51.55,27.69
Hebrew,varod,61.7,-51.58,26.3
Hebrew,varod,51.57,-63.28,28.95
Hebrew,varod,41.22,-53.57,23.28
Hebrew,varod,30.77,-39.23,16.6
Hebrew,varod,20.54,-17.35,7.46
Hebrew,kahol,91.08,-13.22,3.82
Hebrew,kahol,81.35,-33.63,8.67
Hebrew,kahol,71.6,-41.85,9.77
Hebrew,kahol,61.7,-52.09,10.63
Hebrew,kahol,51.57,-52.69,9.7
Hebrew,kahol,41.22,-53.43,8.61
Hebrew,kahol,30.77,-49.93,6.94
Hebrew,kahol,20.54,-27.43,4.26
Hebrew,yaroq,91.08,-12.96,2.42
Hebrew,yaroq,81.35,-33.04,4.96
Hebrew,yaroq,71.6,-41.54,5.41
Hebrew,yaroq,61.7,-51.88,5.51
Hebrew,yaroq,51.57,-51.99,4.46
Hebrew,yaroq,41.22,-52.68,3.36
Hebrew,yaroq,30.77,-39.18,2.14
Hebrew,yaroq,20.54,-26.87,1.22
Hebrew,tsahov,91.08,-11.94,-0.27
Hebrew,tsahov,81.35,-21.19,-1.35
Hebrew,tsahov,71.6,-39.21,-4.56
Hebrew,tsahov,61.7,-39.17,-5.88
Hebrew,tsahov,51.57,-38.59,-7.0
Hebrew,tsahov,41.22,-39.09,-8.33
Hebrew,tsahov,30.77,-27.32,-6.72
Hebrew,tsahov,20.54,-16.13,-4.67
Hebrew,sagol,91.08,-10.86,-2.13
Hebrew,sagol,81.35,-19.64,-4.3
