CIEL_L,CIEL_a,CIEL_b,mixed_term
81.35,-33.8,12.41,lam
71.6,-41.95,14.43,gris
61.7,-52.22,16.26,gris
51.57,-52.87,15.46,gris
41.22,-54.08,14.27,gris
30.77,-39.62,10.61,gris
20.54,-27.79,7.33,kek
91.08,-10.86,-2.13,xanh
81.35,-19.64,-4.3,lam
71.6,-27.52,-7.11,lam
61.7,-36.77,-10.9,lam
51.57,-36.19,-11.99,lam
41.22,-36.33,-13.61,kek
30.77,-25.67,-10.89,kek
20.54,-15.07,-7.11,kek
91.08,-7.96,-4.41,xanh
81.35,-16.44,-9.33,lam
71.6,-22.32,-14.67,lam
61.7,-29.22,-21.27,lam
51.57,-27.95,-22.24,lam
41.22,-20.46,-17.64,kek
30.77,-19.73,-18.89,kek
20.54,-11.72,-12.03,kek
91.08,-6.32,-5.08,xanh
81.35,-13.22,-11.59,lam
71.6,-18.37,-18.07,lam
61.7,-22.98,-25.73,lam
51.57,-21.72,-26.63,xanh
41.22,-21.08,-28.21,kek
30.77,-15.41,-22.0,kek
20.54,-9.52,-13.99,kek
91.08,-1.49,-5.61,xanh
81.35,-5.05,-23.28,xanh
71.6,-5.09,-30.75,xanh
61.7,-4.52,-39.18,xanh
51.57,-3.41,-48.08,xanh
41.22,-2.09,-40.81,xanh
30.77,0.29,-43.03,xanh
20.54,0.11,-26.61,kek
91.08,1.12,-5.38,xanh
81.35,3.22,-14.27,xanh
71.6,6.06,-22.71,xanh
61.7,9.58,-30.64,xanh
51.57,14.19,-39.14,xanh
41.22,20.81,-48.05,xanh
30.77,25.75,-49.63,xanh
20.54,23.81,-41.87,xanh
91.08,2.19,-4.93,xanh
81.35,5.82,-13.42,xanh
71.6,10.25,-21.6,xanh
61.7,15.28,-29.05,xanh
51.57,22.05,-37.02,xanh
41.22,24.29,-38.02,xanh
30.77,28.36,-39.75,xanh
20.54,23.12,-31.33,xanh
91.08,4.7,-2.0,xanh
81.35,21.03,-9.69,xanh
71.6,29.26,-13.95,xanh
61.7,37.1,-18.34,xanh
51.57,46.17,-23.4,xanh
41.22,46.93,-24.7,xanh
30.77,42.44,-23.6,xanh
20.54,24.14,-14.33,xanh
91.08,5.44,1.5,xanh
81.35,23.74,6.18,xanh
71.6,32.41,7.97,xanh
61.7,49.67,10.71,xanh
51.57,59.79,10.72,xanh
41.22,61.57,8.63,xanh
30.77,47.63,5.24,xanh
20.54,36.42,-2.08,xanh
91.08,1.28,14.41,xanh
81.35,15.1,90.21,vermell
71.6,15.62,90.72,vermell
61.7,14.45,76.93,vermell
51.57,13.12,63.99,vermell
41.22,9.31,37.8,hitam
30.77,9.51,37.16,hitam
20.54,3.62,11.09,kek
91.08,-12.17,45.9,hitam
81.35,-17.25,87.99,hitam
71.6,-15.98,87.62,hitam
61.7,-14.02,73.17,hitam
51.57,-11.71,58.46,hitam
41.22,-9.31,43.05,hitam
30.77,-6.44,26.57,hitam
20.54,-3.09,10.75,kek
91.08,-12.69,1.23,xanh
81.35,-32.18,1.81,lam
71.6,-40.91,1.15,lam
61.7,-41.11,0.19,lam
51.57,-51.2,-1.36,gris
41.22,-41.21,-2.07,gris
30.77,-29.07,-1.92,kek
20.54,-17.18,-1.47,kek
91.08,-3.48,-5.55,xanh
81.35,-6.82,-13.92,xanh
71.6,-12.05,-29.46,xanh
61.7,-13.07,-37.55,xanh
51.57,-11.88,-38.56,xanh
41.22,-10.54,-39.65,xanh
30.77,-7.86,-33.8,kek
20.54,-5.25,-25.49,kek
91.08,4.3,10.08,xanh
81.35,14.87,30.96,xanh
71.6,32.89,77.02,vermell
61.7,29.38,64.4,vermell
51.57,29.45,64.44,vermell
41.22,22.15,41.13,nila
30.77,18.18,30.27,hitam
20.54,13.28,18.21,xanh
91.08,-9.69,-3.22,xanh
81.35,-18.27,-7.01,lam
71.6,-25.13,-11.03,lam
61.7,-33.16,-16.42,lam
51.57,-32.36,-17.71,lam
41.22,-24.01,-14.24,kek
30.77,-22.84,-15.29,kek
20.54,-13.39,-9.92,kek
91.08,-4.65,-5.34,xanh
81.35,-10.44,-12.79,lam
71.6,-14.22,-19.9,lam
61.7,-16.81,-28.31,xanh
51.57,-15.72,-29.08,xanh
41.22,-14.67,-30.69,xanh
30.77,-10.88,-24.2,kek
20.54,-9.22,-24.04,kek
